symbol,isin,trade_date,exchange,segment,series,trade_type,quantity,price,trade_id,order_id,order_execution_time
TATAMOTORS,INE155A01022,10-11-2020,NSE,EQ,EQ,buy,80,143.15,75300514,1.3E+15,2020-11-10T09:22:21
TATAMOTORS,INE155A01022,10-11-2020,NSE,EQ,EQ,buy,126,143.15,75300469,1.3E+15,2020-11-10T09:22:21
TATAMOTORS,INE155A01022,10-11-2020,NSE,EQ,EQ,buy,100,143.15,75300408,1.3E+15,2020-11-10T09:22:21
TATAMOTORS,INE155A01022,10-11-2020,NSE,EQ,EQ,buy,197,143.15,75300544,1.3E+15,2020-11-10T09:22:22
IBREALEST,INE069I01010,13-11-2020,NSE,EQ,EQ,buy,300,60.9,25131837,1.1E+15,2020-11-13T09:17:36
ADANIGREEN,INE364U01010,17-11-2020,NSE,EQ,EQ,buy,23,1059,4129176,1E+15,2020-11-17T14:38:44
ADANIGAS,INE399L01023,18-11-2020,NSE,EQ,EQ,buy,100,304.6,44794,1E+15,2020-11-18T09:15:26
ADANIENT,INE423A01024,18-11-2020,NSE,EQ,EQ,buy,10,395.25,122323,1E+15,2020-11-18T09:16:51
ADANIPORTS,INE742F01042,18-11-2020,NSE,EQ,EQ,buy,5,393.3,166404,1E+15,2020-11-18T09:17:45
ADANIPOWER,INE814H01011,18-11-2020,NSE,EQ,EQ,buy,11,37.75,275779,1E+15,2020-11-18T09:20:26
ADANIGAS,INE399L01023,18-11-2020,NSE,EQ,EQ,buy,90,329.75,787461,1E+15,2020-11-18T09:41:21
ADANIGAS,INE399L01023,18-11-2020,NSE,EQ,EQ,buy,6,332.5,835067,1E+15,2020-11-18T09:43:15
ADANITRANS,INE931S01010,18-11-2020,NSE,EQ,EQ,buy,10,399.6,1445080,1E+15,2020-11-18T10:15:15
ADANITRANS,INE931S01010,18-11-2020,NSE,EQ,EQ,buy,1,399.55,1445079,1E+15,2020-11-18T10:15:15
ADANIPOWER,INE814H01011,18-11-2020,NSE,EQ,EQ,buy,100,38.45,1453026,1E+15,2020-11-18T10:15:38
ADANIENT,INE423A01024,18-11-2020,NSE,EQ,EQ,buy,2,402.5,1472435,1E+15,2020-11-18T10:16:53
ADANIGAS,INE399L01023,18-11-2020,NSE,EQ,EQ,buy,3,339.4,1486637,1E+15,2020-11-18T10:17:45
ADANIGAS,INE399L01023,18-11-2020,NSE,EQ,EQ,buy,1,339.4,1486837,1E+15,2020-11-18T10:17:45
ADANITRANS,INE931S01010,18-11-2020,NSE,EQ,EQ,buy,1,397.65,1500032,1E+15,2020-11-18T10:18:26
ADANIPOWER,INE814H01011,18-11-2020,NSE,EQ,EQ,buy,7,39.35,5090516,1E+15,2020-11-18T15:25:41
ADANIGAS,INE399L01023,19-11-2020,NSE,EQ,EQ,buy,10,335.3,1696544,1E+15,2020-11-19T10:34:09
ADANIPOWER,INE814H01011,19-11-2020,NSE,EQ,EQ,buy,10,38.95,2352341,1E+15,2020-11-19T11:35:52
GRAPHITE,INE371A01025,20-11-2020,NSE,EQ,EQ,buy,7,232.8,26128982,1.1E+15,2020-11-20T10:07:36
GRAPHITE,INE371A01025,20-11-2020,NSE,EQ,EQ,sell,7,230.3,26917522,1.1E+15,2020-11-20T11:01:09
TATAMOTORS,INE155A01022,20-11-2020,NSE,EQ,EQ,buy,9,168.65,77043921,1.3E+15,2020-11-20T11:01:35
GRAPHITE,INE371A01025,23-11-2020,NSE,EQ,EQ,buy,11,251.55,27001821,1.1E+15,2020-11-23T10:54:51
SHRIRAMCIT,INE722A01011,23-11-2020,NSE,EQ,EQ,buy,2,1068.35,76878540,1.3E+15,2020-11-23T10:55:41
IFBAGRO,INE076C01018,23-11-2020,NSE,EQ,EQ,buy,3,399.4,27031573,1.1E+15,2020-11-23T10:57:20
IDEA,INE669E01016,23-11-2020,NSE,EQ,EQ,buy,40,10.35,27049558,1.1E+15,2020-11-23T10:59:06
IDEA,INE669E01016,23-11-2020,NSE,EQ,EQ,sell,40,10.3,29172171,1.1E+15,2020-11-23T14:19:22
ADANIGAS,INE399L01023,23-11-2020,NSE,EQ,EQ,buy,1,346,3948414,1E+15,2020-11-23T14:20:13
ADANIGAS,INE399L01023,24-11-2020,BSE,EQ,A,sell,11,342.45,5883800,1.60619E+18,2020-11-24T10:31:51
ADANIPORTS,INE742F01042,24-11-2020,NSE,EQ,EQ,buy,20,401.9,1383887,1E+15,2020-11-24T10:32:09
GRAPHITE,INE371A01025,24-11-2020,NSE,EQ,EQ,buy,5,266,26744789,1.1E+15,2020-11-24T10:33:23
SHRIRAMCIT,INE722A01011,24-11-2020,NSE,EQ,EQ,buy,3,1107.1,76358085,1.3E+15,2020-11-24T10:35:47
TATAMOTORS,INE155A01022,24-11-2020,NSE,EQ,EQ,buy,7,173.95,76397512,1.3E+15,2020-11-24T10:39:19
